LABEL,CONNECTIONS,TYPE,HEMI,CLASSIFICATION_NAME,PAIR,SIZE
267,"L_Frontal - L_Parietal
L_Frontal - L_Occipital
L_Parietal - L_Temporal
L_Occipital - L_Temporal",A-A-A-A,L,A-A-A-A-FrontalParietal-FrontalOccipital-ParietalTemporal-OccipitalTemporal-L,0,1
268,"L_Parietal - R_Parietal
L_Parietal - R_Occipital
L_Parietal - R_Temporal",C-C-C,C,C-C-C-ParietalParietal-ParietalOccipital-ParietalTemporal-C,0,2
269,"L_Frontal - R_Subcortical",NA,C,NA,0,9
270,"L_Frontal - L_Temporal
L_Temporal - R_Frontal",A-C,LC,A-C-FrontalTemporal-TemporalFrontal-LC,0,143
271,"R_Frontal - R_Parietal
R_Frontal - R_Occipital
R_Parietal - R_Temporal",A-A-A,R,A-A-A-FrontalParietal-FrontalOccipital-ParietalTemporal-R,0,20
272,"L_Temporal - R_Occipital
L_Temporal - R_Temporal",C-C,C,C-C-TemporalOccipital-TemporalTemporal-C,0,279
273,"R_Parietal - R_Subcortical
R_Parietal - R_Cerebellum
R_Parietal - Brainstem",P-P,R,P-P-ParietalSubcortical-ParietalCerebellum-ParietalBrainstem-R,0,146
274,"L_Frontal - R_Frontal
L_Parietal - R_Frontal
R_Frontal - R_Parietal
R_Frontal - Brainstem",C-C-A-P,RC,C-C-A-P-FrontalFrontal-ParietalFrontal-FrontalParietal-FrontalBrainstem-RC,0,4
275,"L_Occipital - L_Temporal
L_Occipital - L_Subcortical
L_Occipital - Brainstem",A-P-P,L,A-P-P-OccipitalTemporal-OccipitalSubcortical-OccipitalBrainstem-L,0,56
276,"L_Parietal - R_Temporal
R_Parietal - R_Temporal
R_Temporal - R_Cingulate",C-A-A,RC,C-A-A-ParietalTemporal-ParietalTemporal-TemporalCingulate-RC,0,97
277,"L_Parietal - L_Temporal
L_Temporal - L_Cingulate
L_Temporal - R_Parietal",A-A-C,LC,A-A-C-ParietalTemporal-TemporalCingulate-TemporalParietal-LC,0,3
278,"L_Occipital - Brainstem",P,L,P-OccipitalBrainstem-L,0,2
279,"L_Frontal - L_Occipital
L_Frontal - L_Temporal
L_Parietal - L_Temporal",A-A-A,L,A-A-A-FrontalOccipital-FrontalTemporal-ParietalTemporal-L,0,3
280,"L_Frontal - L_Parietal
L_Parietal - R_Frontal
L_Parietal - R_Parietal
L_Parietal - Brainstem",A-C-C-P,LC,A-C-C-P-FrontalParietal-ParietalFrontal-ParietalParietal-ParietalBrainstem-LC,0,25
281,"L_Occipital - L_Temporal
L_Occipital - R_Parietal
L_Occipital - R_Occipital",A-C-C,LC,A-C-C-OccipitalTemporal-OccipitalParietal-OccipitalOccipital-LC,0,2
